country,state,city_x,lat,lon,wind_speed_50m,wind_speed_100m,wind_speed_150m,region,city_y,latitude,longitude,annual_dni,annual_ghi,annual_tilt,collection_date,annual_dni_value,annual_ghi_value,annual_tilt_value,avg_wind_speed,wind_speed_increase_rate,solar_potential_index,renewable_score
USA,Florida,Jacksonville,30.3322,-81.6557,4.6199927,5.736026,6.498457,Kansas,Wichita,37.6872,-97.3301,"{'annual': 5.1, 'monthly': {'jan': 4.23, 'feb': 4.59, 'mar': 4.64, 'apr': 5.28, 'may': 5.46, 'jun': 5.92, 'jul': 6.58, 'aug': 6.07, 'sep': 5.44, 'oct': 4.61, 'nov': 4.38, 'dec': 3.91}}","{'annual': 4.57, 'monthly': {'jan': 2.48, 'feb': 3.33, 'mar': 4.22, 'apr': 5.43, 'may': 6.18, 'jun': 6.65, 'jul': 6.86, 'aug': 6.14, 'sep': 4.96, 'oct': 3.62, 'nov': 2.72, 'dec': 2.21}}","{'annual': 5.33, 'monthly': {'jan': 4.32, 'feb': 4.95, 'mar': 5.2, 'apr': 5.74, 'may': 5.8, 'jun': 5.94, 'jul': 6.3, 'aug': 6.26, 'sep': 5.87, 'oct': 5.04, 'nov': 4.54, 'dec': 4.04}}",2025-09-01T19:25:26.118,5.1,4.57,5.33,5.618158566666668,40.659464678374924,5.0,74.85110888032274
USA,Florida,Jacksonville,30.3322,-81.6557,4.6199927,5.736026,6.498457,Kentucky,Louisville,38.2527,-85.7585,"{'annual': 4.01, 'monthly': {'jan': 2.8, 'feb': 3.71, 'mar': 3.89, 'apr': 4.39, 'may': 4.6, 'jun': 5.01, 'jul': 4.71, 'aug': 4.93, 'sep': 4.57, 'oct': 3.92, 'nov': 3.03, 'dec': 2.55}}","{'annual': 4.12, 'monthly': {'jan': 1.96, 'feb': 2.88, 'mar': 3.84, 'apr': 4.92, 'may': 5.83, 'jun': 6.28, 'jul': 5.99, 'aug': 5.68, 'sep': 4.64, 'oct': 3.39, 'nov': 2.28, 'dec': 1.73}}","{'annual': 4.7, 'monthly': {'jan': 3.22, 'feb': 4.21, 'mar': 4.69, 'apr': 5.16, 'may': 5.5, 'jun': 5.66, 'jul': 5.54, 'aug': 5.79, 'sep': 5.43, 'oct': 4.65, 'nov': 3.61, 'dec': 2.98}}",2025-09-01T19:25:31.327,4.01,4.12,4.7,5.618158566666668,40.659464678374924,4.276666666666666,69.42339502339428
USA,Florida,Jacksonville,30.3322,-81.6557,4.6199927,5.736026,6.498457,Louisiana,New Orleans,29.9511,-90.0715,"{'annual': 4.32, 'monthly': {'jan': 3.8, 'feb': 4.22, 'mar': 4.79, 'apr': 5.17, 'may': 5.1, 'jun': 4.35, 'jul': 3.92, 'aug': 4.04, 'sep': 4.04, 'oct': 4.43, 'nov': 4.38, 'dec': 3.62}}","{'annual': 4.64, 'monthly': {'jan': 2.93, 'feb': 3.7, 'mar': 4.79, 'apr': 5.88, 'may': 6.33, 'jun': 5.94, 'jul': 5.55, 'aug': 5.34, 'sep': 4.76, 'oct': 4.21, 'nov': 3.42, 'dec': 2.74}}","{'annual': 5.12, 'monthly': {'jan': 4.19, 'feb': 4.77, 'mar': 5.48, 'apr': 5.98, 'may': 5.94, 'jun': 5.37, 'jul': 5.12, 'aug': 5.27, 'sep': 5.22, 'oct': 5.25, 'nov': 4.83, 'dec': 4.05}}",2025-09-01T19:25:36.540,4.32,4.64,5.12,5.618158566666668,40.659464678374924,4.693333333333334,72.5499583050351
USA,Florida,Jacksonville,30.3322,-81.6557,4.6199927,5.736026,6.498457,Maine,Portland,43.6591,-70.2568,"{'annual': 4.14, 'monthly': {'jan': 3.31, 'feb': 3.83, 'mar': 4.17, 'apr': 4.75, 'may': 4.6, 'jun': 4.44, 'jul': 5.14, 'aug': 5.12, 'sep': 4.87, 'oct': 3.63, 'nov': 2.75, 'dec': 3.03}}","{'annual': 3.83, 'monthly': {'jan': 1.82, 'feb': 2.65, 'mar': 3.7, 'apr': 4.85, 'may': 5.44, 'jun': 5.65, 'jul': 5.93, 'aug': 5.36, 'sep': 4.33, 'oct': 2.84, 'nov': 1.8, 'dec': 1.55}}","{'annual': 4.63, 'monthly': {'jan': 3.62, 'feb': 4.33, 'mar': 4.8, 'apr': 5.25, 'may': 5.17, 'jun': 5.09, 'jul': 5.53, 'aug': 5.6, 'sep': 5.36, 'oct': 4.24, 'nov': 3.23, 'dec': 3.3}}",2025-09-01T19:25:41.986,4.14,3.83,4.63,5.618158566666668,40.659464678374924,4.2,68.84810737957237
USA,Florida,Jacksonville,30.3322,-81.6557,4.6199927,5.736026,6.498457,Maryland,Baltimore,39.2904,-76.6122,"{'annual': 4.13, 'monthly': {'jan': 3.53, 'feb': 4.13, 'mar': 4.55, 'apr': 4.47, 'may': 4.49, 'jun': 4.7, 'jul': 4.62, 'aug': 4.34, 'sep': 4.04, 'oct': 3.96, 'nov': 3.34, 'dec': 3.39}}","{'annual': 4.13, 'monthly': {'jan': 2.15, 'feb': 3.03, 'mar': 4.11, 'apr': 4.99, 'may': 5.69, 'jun': 6.13, 'jul': 6.04, 'aug': 5.37, 'sep': 4.34, 'oct': 3.32, 'nov': 2.38, 'dec': 1.97}}","{'annual': 4.85, 'monthly': {'jan': 3.8, 'feb': 4.57, 'mar': 5.15, 'apr': 5.27, 'may': 5.4, 'jun': 5.56, 'jul': 5.62, 'aug': 5.46, 'sep': 5.07, 'oct': 4.65, 'nov': 3.91, 'dec': 3.67}}",2025-09-01T19:25:47.439,4.13,4.13,4.85,5.618158566666668,40.659464678374924,4.37,70.12374519848183
USA,Florida,Jacksonville,30.3322,-81.6557,4.6199927,5.736026,6.498457,Massachusetts,Boston,42.3601,-71.0589,"{'annual': 3.79, 'monthly': {'jan': 3.09, 'feb': 3.89, 'mar': 4.04, 'apr': 4.15, 'may': 4.05, 'jun': 4.11, 'jul': 4.51, 'aug': 4.52, 'sep': 4.32, 'oct': 3.42, 'nov': 2.65, 'dec': 2.77}}","{'annual': 3.84, 'monthly': {'jan': 1.87, 'feb': 2.79, 'mar': 3.76, 'apr': 4.73, 'may': 5.33, 'jun': 5.61, 'jul': 5.86, 'aug': 5.3, 'sep': 4.29, 'oct': 2.92, 'nov': 1.93, 'dec': 1.6}}","{'annual': 4.57, 'monthly': {'jan': 3.52, 'feb': 4.45, 'mar': 4.81, 'apr': 5.06, 'may': 5.07, 'jun': 5.08, 'jul': 5.49, 'aug': 5.49, 'sep': 5.18, 'oct': 4.22, 'nov': 3.29, 'dec': 3.18}}",2025-09-01T19:25:52.579,3.79,3.84,4.57,5.618158566666668,40.659464678374924,4.066666666666666,67.84760712944731
USA,Florida,Jacksonville,30.3322,-81.6557,4.6199927,5.736026,6.498457,Michigan,Detroit,42.3314,-83.0458,"{'annual': 3.59, 'monthly': {'jan': 2.22, 'feb': 3.22, 'mar': 3.9, 'apr': 4.35, 'may': 4.22, 'jun': 4.67, 'jul': 4.93, 'aug': 4.34, 'sep': 4.43, 'oct': 2.87, 'nov': 2.05, 'dec': 1.92}}","{'annual': 3.84, 'monthly': {'jan': 1.62, 'feb': 2.54, 'mar': 3.74, 'apr': 4.88, 'may': 5.53, 'jun': 6.09, 'jul': 6.1, 'aug': 5.22, 'sep': 4.4, 'oct': 2.76, 'nov': 1.72, 'dec': 1.37}}","{'annual': 4.41, 'monthly': {'jan': 2.8, 'feb': 3.89, 'mar': 4.74, 'apr': 5.23, 'may': 5.25, 'jun': 5.52, 'jul': 5.67, 'aug': 5.37, 'sep': 5.31, 'oct': 3.85, 'nov': 2.76, 'dec': 2.47}}",2025-09-01T19:25:57.664,3.59,3.84,4.41,5.618158566666668,40.659464678374924,3.9466666666666668,66.94715690433475
USA,Florida,Jacksonville,30.3322,-81.6557,4.6199927,5.736026,6.498457,Minnesota,Minneapolis,44.9778,-93.265,"{'annual': 4.09, 'monthly': {'jan': 2.81, 'feb': 3.57, 'mar': 4.17, 'apr': 4.87, 'may': 4.63, 'jun': 4.88, 'jul': 5.77, 'aug': 5.13, 'sep': 4.59, 'oct': 3.17, 'nov': 2.72, 'dec': 2.79}}","{'annual': 3.79, 'monthly': {'jan': 1.58, 'feb': 2.44, 'mar': 3.59, 'apr': 4.91, 'may': 5.49, 'jun': 5.95, 'jul': 6.35, 'aug': 5.31, 'sep': 4.17, 'oct': 2.57, 'nov': 1.7, 'dec': 1.36}}","{'annual': 4.56, 'monthly': {'jan': 3.16, 'feb': 4.04, 'mar': 4.74, 'apr': 5.39, 'may': 5.23, 'jun': 5.38, 'jul': 5.93, 'aug': 5.57, 'sep': 5.2, 'oct': 3.83, 'nov': 3.18, 'dec': 3.01}}",2025-09-01T19:26:02.737,4.09,3.79,4.56,5.618158566666668,40.659464678374924,4.1466666666666665,68.44790727952234
USA,Florida,Jacksonville,30.3322,-81.6557,4.6199927,5.736026,6.498457,Mississippi,Jackson,32.2988,-90.1848,"{'annual': 4.39, 'monthly': {'jan': 3.61, 'feb': 3.99, 'mar': 4.48, 'apr': 5.07, 'may': 4.86, 'jun': 5.02, 'jul': 4.76, 'aug': 4.85, 'sep': 4.21, 'oct': 4.47, 'nov': 4.04, 'dec': 3.33}}","{'annual': 4.58, 'monthly': {'jan': 2.6, 'feb': 3.37, 'mar': 4.45, 'apr': 5.67, 'may': 6.14, 'jun': 6.42, 'jul': 6.14, 'aug': 5.83, 'sep': 4.82, 'oct': 4.01, 'nov': 3.07, 'dec': 2.41}}","{'annual': 5.1, 'monthly': {'jan': 3.87, 'feb': 4.49, 'mar': 5.18, 'apr': 5.82, 'may': 5.77, 'jun': 5.81, 'jul': 5.68, 'aug': 5.82, 'sep': 5.38, 'oct': 5.17, 'nov': 4.49, 'dec': 3.7}}",2025-09-01T19:26:07.834,4.39,4.58,5.1,5.618158566666668,40.659464678374924,4.6899999999999995,72.52494579878197
USA,Florida,Jacksonville,30.3322,-81.6557,4.6199927,5.736026,6.498457,Missouri,Kansas City,39.0997,-94.5786,"{'annual': 4.59, 'monthly': {'jan': 3.66, 'feb': 4.03, 'mar': 4.38, 'apr': 4.64, 'may': 5.06, 'jun': 5.4, 'jul': 5.75, 'aug': 5.39, 'sep': 5.26, 'oct': 4.23, 'nov': 3.63, 'dec': 3.57}}","{'annual': 4.25, 'monthly': {'jan': 2.2, 'feb': 2.97, 'mar': 4.0, 'apr': 4.96, 'may': 5.92, 'jun': 6.32, 'jul': 6.36, 'aug': 5.68, 'sep': 4.75, 'oct': 3.34, 'nov': 2.39, 'dec': 2.01}}","{'annual': 4.97, 'monthly': {'jan': 3.9, 'feb': 4.45, 'mar': 4.98, 'apr': 5.25, 'may': 5.58, 'jun': 5.68, 'jul': 5.86, 'aug': 5.8, 'sep': 5.67, 'oct': 4.71, 'nov': 4.01, 'dec': 3.77}}",2025-09-01T19:26:13.057,4.59,4.25,4.97,5.618158566666668,40.659464678374924,4.603333333333333,71.87462063620067
USA,Florida,Jacksonville,30.3322,-81.6557,4.6199927,5.736026,6.498457,Montana,Billings,45.7833,-108.5007,"{'annual': 5.08, 'monthly': {'jan': 3.01, 'feb': 4.22, 'mar': 4.45, 'apr': 5.38, 'may': 5.99, 'jun': 6.55, 'jul': 8.16, 'aug': 7.1, 'sep': 5.81, 'oct': 4.31, 'nov': 3.13, 'dec': 2.72}}","{'annual': 4.09, 'monthly': {'jan': 1.51, 'feb': 2.48, 'mar': 3.61, 'apr': 4.99, 'may': 6.07, 'jun': 6.59, 'jul': 7.22, 'aug': 6.11, 'sep': 4.54, 'oct': 2.88, 'nov': 1.74, 'dec': 1.27}}","{'annual': 4.98, 'monthly': {'jan': 3.2, 'feb': 4.34, 'mar': 4.86, 'apr': 5.52, 'may': 5.8, 'jun': 5.9, 'jul': 6.74, 'aug': 6.52, 'sep': 5.86, 'oct': 4.6, 'nov': 3.44, 'dec': 2.89}}",2025-09-01T19:26:19.182,5.08,4.09,4.98,5.618158566666668,40.659464678374924,4.716666666666667,72.72504584880699
USA,Florida,Jacksonville,30.3322,-81.6557,4.6199927,5.736026,6.498457,Nebraska,Omaha,41.2565,-95.9345,"{'annual': 4.51, 'monthly': {'jan': 3.32, 'feb': 3.94, 'mar': 4.23, 'apr': 4.86, 'may': 4.99, 'jun': 5.38, 'jul': 5.89, 'aug': 5.24, 'sep': 5.37, 'oct': 4.13, 'nov': 3.52, 'dec': 3.17}}","{'annual': 4.16, 'monthly': {'jan': 1.96, 'feb': 2.8, 'mar': 3.85, 'apr': 5.02, 'may': 5.86, 'jun': 6.34, 'jul': 6.44, 'aug': 5.6, 'sep': 4.75, 'oct': 3.23, 'nov': 2.24, 'dec': 1.75}}","{'annual': 4.93, 'monthly': {'jan': 3.62, 'feb': 4.36, 'mar': 4.9, 'apr': 5.39, 'may': 5.55, 'jun': 5.7, 'jul': 5.96, 'aug': 5.78, 'sep': 5.81, 'oct': 4.7, 'nov': 3.95, 'dec': 3.44}}",2025-09-01T19:26:24.301,4.51,4.16,4.93,5.618158566666668,40.659464678374924,4.533333333333333,71.34935800488503
USA,Florida,Jacksonville,30.3322,-81.6557,4.6199927,5.736026,6.498457,Nevada,Las Vegas,36.1699,-115.1398,"{'annual': 7.62, 'monthly': {'jan': 6.09, 'feb': 6.17, 'mar': 7.59, 'apr': 7.96, 'may': 8.94, 'jun': 9.68, 'jul': 8.65, 'aug': 8.26, 'sep': 8.56, 'oct': 7.21, 'nov': 6.42, 'dec': 5.83}}","{'annual': 5.68, 'monthly': {'jan': 3.17, 'feb': 3.98, 'mar': 5.64, 'apr': 6.93, 'may': 7.94, 'jun': 8.37, 'jul': 7.65, 'aug': 7.03, 'sep': 6.22, 'oct': 4.71, 'nov': 3.49, 'dec': 2.87}}","{'annual': 6.69, 'monthly': {'jan': 5.62, 'feb': 5.96, 'mar': 7.08, 'apr': 7.34, 'may': 7.4, 'jun': 7.34, 'jul': 6.93, 'aug': 7.11, 'sep': 7.43, 'oct': 6.71, 'nov': 5.94, 'dec': 5.36}}",2025-09-01T19:26:29.798,7.62,5.68,6.69,5.618158566666668,40.659464678374924,6.663333333333334,87.3323495006329
USA,Florida,Jacksonville,30.3322,-81.6557,4.6199927,5.736026,6.498457,New Hampshire,Manchester,42.9956,-71.4548,"{'annual': 3.91, 'monthly': {'jan': 3.16, 'feb': 3.63, 'mar': 4.21, 'apr': 4.56, 'may': 4.33, 'jun': 4.19, 'jul': 4.8, 'aug': 4.68, 'sep': 4.4, 'oct': 3.47, 'nov': 2.63, 'dec': 2.84}}","{'annual': 3.8, 'monthly': {'jan': 1.84, 'feb': 2.66, 'mar': 3.78, 'apr': 4.82, 'may': 5.33, 'jun': 5.53, 'jul': 5.87, 'aug': 5.25, 'sep': 4.2, 'oct': 2.84, 'nov': 1.85, 'dec': 1.57}}","{'annual': 4.54, 'monthly': {'jan': 3.54, 'feb': 4.24, 'mar': 4.87, 'apr': 5.19, 'may': 5.06, 'jun': 4.98, 'jul': 5.47, 'aug': 5.45, 'sep': 5.1, 'oct': 4.16, 'nov': 3.21, 'dec': 3.2}}",2025-09-01T19:26:35.077,3.91,3.8,4.54,5.618158566666668,40.659464678374924,4.083333333333333,67.97266966071294
USA,Florida,Jacksonville,30.3322,-81.6557,4.6199927,5.736026,6.498457,New Jersey,Newark,40.7357,-74.1724,"{'annual': 3.88, 'monthly': {'jan': 3.33, 'feb': 4.13, 'mar': 4.28, 'apr': 4.22, 'may': 4.25, 'jun': 4.26, 'jul': 4.38, 'aug': 4.16, 'sep': 4.13, 'oct': 3.57, 'nov': 2.9, 'dec': 3.02}}","{'annual': 3.96, 'monthly': {'jan': 2.03, 'feb': 2.96, 'mar': 3.98, 'apr': 4.82, 'may': 5.54, 'jun': 5.84, 'jul': 5.87, 'aug': 5.15, 'sep': 4.29, 'oct': 3.08, 'nov': 2.12, 'dec': 1.77}}","{'annual': 4.67, 'monthly': {'jan': 3.69, 'feb': 4.6, 'mar': 5.03, 'apr': 5.11, 'may': 5.26, 'jun': 5.31, 'jul': 5.47, 'aug': 5.26, 'sep': 5.08, 'oct': 4.36, 'nov': 3.53, 'dec': 3.38}}",2025-09-01T19:26:40.360,3.88,3.96,4.67,5.618158566666668,40.659464678374924,4.17,68.62299482329422
USA,Florida,Jacksonville,30.3322,-81.6557,4.6199927,5.736026,6.498457,New Mexico,Albuquerque,35.0844,-106.6504,"{'annual': 7.45, 'monthly': {'jan': 6.74, 'feb': 6.81, 'mar': 7.39, 'apr': 8.16, 'may': 8.55, 'jun': 8.82, 'jul': 7.66, 'aug': 7.16, 'sep': 7.49, 'oct': 7.22, 'nov': 7.01, 'dec': 6.4}}","{'annual': 5.58, 'monthly': {'jan': 3.35, 'feb': 4.2, 'mar': 5.51, 'apr': 6.88, 'may': 7.66, 'jun': 7.97, 'jul': 7.36, 'aug': 6.7, 'sep': 5.92, 'oct': 4.71, 'nov': 3.63, 'dec': 3.0}}","{'annual': 6.57, 'monthly': {'jan': 5.87, 'feb': 6.22, 'mar': 6.81, 'apr': 7.2, 'may': 7.13, 'jun': 7.01, 'jul': 6.71, 'aug': 6.75, 'sep': 6.93, 'oct': 6.58, 'nov': 6.1, 'dec': 5.54}}",2025-09-01T19:26:45.774,7.45,5.58,6.57,5.618158566666668,40.659464678374924,6.533333333333334,86.35686175676096
USA,Florida,Jacksonville,30.3322,-81.6557,4.6199927,5.736026,6.498457,New York,New York City,40.7128,-74.006,"{'annual': 3.79, 'monthly': {'jan': 3.23, 'feb': 3.89, 'mar': 4.09, 'apr': 4.1, 'may': 4.16, 'jun': 4.23, 'jul': 4.32, 'aug': 4.18, 'sep': 4.1, 'oct': 3.42, 'nov': 2.79, 'dec': 2.97}}","{'annual': 3.93, 'monthly': {'jan': 2.0, 'feb': 2.89, 'mar': 3.91, 'apr': 4.77, 'may': 5.51, 'jun': 5.85, 'jul': 5.85, 'aug': 5.17, 'sep': 4.3, 'oct': 3.03, 'nov': 2.08, 'dec': 1.75}}","{'annual': 4.62, 'monthly': {'jan': 3.61, 'feb': 4.45, 'mar': 4.92, 'apr': 5.05, 'may': 5.24, 'jun': 5.31, 'jul': 5.46, 'aug': 5.28, 'sep': 5.1, 'oct': 4.26, 'nov': 3.44, 'dec': 3.34}}",2025-09-01T19:26:51.050,3.79,3.93,4.62,5.618158566666668,40.659464678374924,4.113333333333333,68.19778221699107
USA,Florida,Jacksonville,30.3322,-81.6557,4.6199927,5.736026,6.498457,North Carolina,Charlotte,35.2271,-80.8431,"{'annual': 4.62, 'monthly': {'jan': 4.34, 'feb': 4.66, 'mar': 5.02, 'apr': 5.18, 'may': 5.18, 'jun': 5.08, 'jul': 4.66, 'aug': 4.5, 'sep': 4.43, 'oct': 4.29, 'nov': 4.2, 'dec': 3.94}}","{'annual': 4.52, 'monthly': {'jan': 2.65, 'feb': 3.43, 'mar': 4.49, 'apr': 5.53, 'may': 6.22, 'jun': 6.4, 'jul': 6.06, 'aug': 5.64, 'sep': 4.73, 'oct': 3.72, 'nov': 2.89, 'dec': 2.38}}","{'annual': 5.19, 'monthly': {'jan': 4.36, 'feb': 4.9, 'mar': 5.44, 'apr': 5.76, 'may': 5.85, 'jun': 5.77, 'jul': 5.59, 'aug': 5.67, 'sep': 5.39, 'oct': 4.95, 'nov': 4.53, 'dec': 4.08}}",2025-09-01T19:26:56.096,4.62,4.52,5.19,5.618158566666668,40.659464678374924,4.776666666666667,73.17527096136327
USA,Florida,Jacksonville,30.3322,-81.6557,4.6199927,5.736026,6.498457,North Dakota,Fargo,46.8772,-96.7898,"{'annual': 4.08, 'monthly': {'jan': 1.61, 'feb': 2.52, 'mar': 3.7, 'apr': 5.78, 'may': 5.28, 'jun': 5.33, 'jul': 6.39, 'aug': 5.7, 'sep': 4.77, 'oct': 3.2, 'nov': 2.76, 'dec': 1.93}}","{'annual': 3.69, 'monthly': {'jan': 1.06, 'feb': 1.9, 'mar': 3.21, 'apr': 5.2, 'may': 5.68, 'jun': 6.09, 'jul': 6.51, 'aug': 5.47, 'sep': 4.07, 'oct': 2.43, 'nov': 1.55, 'dec': 0.97}}","{'annual': 4.35, 'monthly': {'jan': 2.0, 'feb': 3.04, 'mar': 4.23, 'apr': 5.83, 'may': 5.43, 'jun': 5.48, 'jul': 6.09, 'aug': 5.82, 'sep': 5.23, 'oct': 3.76, 'nov': 3.11, 'dec': 2.15}}",2025-09-01T19:27:02.622,4.08,3.69,4.35,5.618158566666668,40.659464678374924,4.04,67.6475070794223
USA,Florida,Jacksonville,30.3322,-81.6557,4.6199927,5.736026,6.498457,Ohio,Columbus,39.9612,-82.9988,"{'annual': 3.63, 'monthly': {'jan': 2.56, 'feb': 2.95, 'mar': 3.48, 'apr': 4.09, 'may': 4.22, 'jun': 4.63, 'jul': 4.55, 'aug': 4.44, 'sep': 4.49, 'oct': 3.44, 'nov': 2.53, 'dec': 2.22}}","{'annual': 3.91, 'monthly': {'jan': 1.82, 'feb': 2.51, 'mar': 3.61, 'apr': 4.8, 'may': 5.58, 'jun': 6.08, 'jul': 5.91, 'aug': 5.36, 'sep': 4.51, 'oct': 3.1, 'nov': 2.01, 'dec': 1.57}}","{'annual': 4.46, 'monthly': {'jan': 3.06, 'feb': 3.64, 'mar': 4.42, 'apr': 5.07, 'may': 5.29, 'jun': 5.49, 'jul': 5.46, 'aug': 5.46, 'sep': 5.34, 'oct': 4.28, 'nov': 3.2, 'dec': 2.73}}",2025-09-01T19:27:07.713,3.63,3.91,4.46,5.618158566666668,40.659464678374924,4.0,67.34735700438478
USA,Florida,Jacksonville,30.3322,-81.6557,4.6199927,5.736026,6.498457,Oklahoma,Oklahoma City,35.4676,-97.5164,"{'annual': 5.23, 'monthly': {'jan': 4.42, 'feb': 4.62, 'mar': 4.6, 'apr': 5.43, 'may': 5.19, 'jun': 5.93, 'jul': 6.82, 'aug': 6.34, 'sep': 5.72, 'oct': 4.81, 'nov': 4.46, 'dec': 4.36}}","{'annual': 4.7, 'monthly': {'jan': 2.71, 'feb': 3.48, 'mar': 4.33, 'apr': 5.6, 'may': 6.03, 'jun': 6.58, 'jul': 6.98, 'aug': 6.3, 'sep': 5.14, 'oct': 3.83, 'nov': 2.89, 'dec': 2.49}}","{'annual': 5.41, 'monthly': {'jan': 4.48, 'feb': 4.97, 'mar': 5.21, 'apr': 5.85, 'may': 5.64, 'jun': 5.87, 'jul': 6.39, 'aug': 6.37, 'sep': 5.98, 'oct': 5.17, 'nov': 4.6, 'dec': 4.35}}",2025-09-01T19:27:12.839,5.23,4.7,5.41,5.618158566666668,40.659464678374924,5.113333333333333,75.70153409292905
USA,Florida,Jacksonville,30.3322,-81.6557,4.6199927,5.736026,6.498457,Oregon,Portland,45.5051,-122.675,"{'annual': 3.35, 'monthly': {'jan': 1.54, 'feb': 2.4, 'mar': 2.4, 'apr': 3.37, 'may': 3.76, 'jun': 4.43, 'jul': 6.08, 'aug': 5.49, 'sep': 4.92, 'oct': 2.76, 'nov': 1.66, 'dec': 1.33}}","{'annual': 3.53, 'monthly': {'jan': 1.16, 'feb': 2.03, 'mar': 2.85, 'apr': 4.27, 'may': 5.14, 'jun': 5.73, 'jul': 6.46, 'aug': 5.55, 'sep': 4.35, 'oct': 2.44, 'nov': 1.34, 'dec': 0.98}}","{'annual': 4.04, 'monthly': {'jan': 2.05, 'feb': 3.13, 'mar': 3.51, 'apr': 4.54, 'may': 4.86, 'jun': 5.16, 'jul': 6.07, 'aug': 5.87, 'sep': 5.52, 'oct': 3.59, 'nov': 2.27, 'dec': 1.81}}",2025-09-01T19:27:17.938,3.35,3.53,4.04,5.618158566666668,40.659464678374924,3.64,64.64600632904711
USA,Florida,Jacksonville,30.3322,-81.6557,4.6199927,5.736026,6.498457,Pennsylvania,Philadelphia,39.9526,-75.1652,"{'annual': 3.95, 'monthly': {'jan': 3.32, 'feb': 4.01, 'mar': 4.25, 'apr': 4.28, 'may': 4.33, 'jun': 4.29, 'jul': 4.54, 'aug': 4.12, 'sep': 4.11, 'oct': 3.76, 'nov': 3.14, 'dec': 3.25}}","{'annual': 4.02, 'monthly': {'jan': 2.05, 'feb': 2.95, 'mar': 3.96, 'apr': 4.87, 'may': 5.62, 'jun': 5.9, 'jul': 5.97, 'aug': 5.2, 'sep': 4.33, 'oct': 3.2, 'nov': 2.25, 'dec': 1.86}}","{'annual': 4.72, 'monthly': {'jan': 3.65, 'feb': 4.49, 'mar': 4.97, 'apr': 5.16, 'may': 5.33, 'jun': 5.35, 'jul': 5.56, 'aug': 5.28, 'sep': 5.1, 'oct': 4.5, 'nov': 3.73, 'dec': 3.53}}",2025-09-01T19:27:22.894,3.95,4.02,4.72,5.618158566666668,40.659464678374924,4.2299999999999995,69.0732199358505
USA,Florida,Jacksonville,30.3322,-81.6557,4.6199927,5.736026,6.498457,Rhode Island,Providence,41.824,-71.4128,"{'annual': 3.83, 'monthly': {'jan': 3.19, 'feb': 3.88, 'mar': 4.22, 'apr': 4.32, 'may': 4.21, 'jun': 4.23, 'jul': 4.43, 'aug': 4.27, 'sep': 4.21, 'oct': 3.38, 'nov': 2.69, 'dec': 2.9}}","{'annual': 3.86, 'monthly': {'jan': 1.93, 'feb': 2.83, 'mar': 3.86, 'apr': 4.8, 'may': 5.37, 'jun': 5.7, 'jul': 5.81, 'aug': 5.18, 'sep': 4.25, 'oct': 2.93, 'nov': 1.99, 'dec': 1.67}}","{'annual': 4.59, 'monthly': {'jan': 3.59, 'feb': 4.46, 'mar': 4.94, 'apr': 5.13, 'may': 5.09, 'jun': 5.17, 'jul': 5.42, 'aug': 5.33, 'sep': 5.1, 'oct': 4.2, 'nov': 3.35, 'dec': 3.28}}",2025-09-01T19:27:27.845,3.83,3.86,4.59,5.618158566666668,40.659464678374924,4.093333333333333,68.04770717947231
USA,Florida,Jacksonville,30.3322,-81.6557,4.6199927,5.736026,6.498457,South Carolina,Charleston,32.7765,-79.9311,"{'annual': 4.77, 'monthly': {'jan': 4.31, 'feb': 4.64, 'mar': 5.29, 'apr': 5.81, 'may': 5.78, 'jun': 5.19, 'jul': 4.87, 'aug': 4.37, 'sep': 4.15, 'oct': 4.33, 'nov': 4.43, 'dec': 4.01}}","{'annual': 4.73, 'monthly': {'jan': 2.87, 'feb': 3.64, 'mar': 4.84, 'apr': 6.07, 'may': 6.63, 'jun': 6.43, 'jul': 6.17, 'aug': 5.56, 'sep': 4.7, 'oct': 3.95, 'nov': 3.23, 'dec': 2.62}}","{'annual': 5.34, 'monthly': {'jan': 4.45, 'feb': 4.98, 'mar': 5.73, 'apr': 6.29, 'may': 6.23, 'jun': 5.79, 'jul': 5.7, 'aug': 5.55, 'sep': 5.25, 'oct': 5.09, 'nov': 4.82, 'dec': 4.21}}",2025-09-01T19:27:32.837,4.77,4.73,5.34,5.618158566666668,40.659464678374924,4.946666666666666,74.45090878027271
